author,published,title,text,site_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,27-Oct-17,Israel honours first recognised Arab Holocaust saviour, The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award. The only Arab to be awarded Israel's highest honour for saving Jews during the Nazi Holocaust has posthumously received his award.,http://www.bbc.com/news/world-middle-east-41775948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,29-Oct-17,Somalia Mogadishu: Deadly attacks rock capital," Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants. Security forces in the Somali capital, Mogadishu, have ended a 15-hour siege of a hotel stormed by armed militants.",http://www.bbc.com/news/world-africa-41790476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,27-Oct-17,US economy grows faster than expected in third quarter," The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected. The US economy expanded at an annual pace of 3% during the three months to the end of September, which was stronger than expected.",http://www.bbc.com/news/business-41779341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,28-Oct-17,Facebook denies 'listening' to conversations, A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads. A Facebook executive has denied the social network uses a device's microphone to listen to what users are saying and then send them relevant ads.,http://www.bbc.com/news/technology-41776215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,28-Oct-17,Harvey Weinstein claims: Sopranos actress Sciorra alleges rape," Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape. Italian-American actress Annabella Sciorra, who starred in US TV series The Sopranos, has accused disgraced producer Harvey Weinstein of rape.",http://www.bbc.com/news/entertainment-arts-41790781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,29-Oct-17,Catalan crisis: Carles Puigdemont 'welcome' to run in poll, The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections. The Spanish government has said it would welcome the participation of sacked Catalan leader Carles Puigdemont in new elections.,http://www.bbc.com/news/world-europe-41791446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,28-Oct-17,Chimpanzees among 33 breeds selected for special protection," A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes. A UN-backed wildlife conference held in the Philippines has voted for additional protections for a list of 33 endangered species including chimpanzees, leopards and giraffes.",http://www.bbc.com/news/world-asia-41791842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,29-Oct-17,How Facebook saved a dying mill town, A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself? A mill town with high unemployment has seen its fortunes changed by Facebook's need for data servers. But will the town have to radically change to save itself?,http://www.bbc.com/news/world-us-canada-40050607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,28-Oct-17,Professor Stephen Hawking's PhD viewed two million times," Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed. Stephen Hawking's PhD thesis was accessed more than two million times within days of it being made available to the public, it has been revealed.",http://www.bbc.com/news/uk-england-cambridgeshire-41775910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc,29-Oct-17,Savitri Devi: The mystical fascist being resurrected by the alt-right," Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis. Savitri Devi, a mystical admirer of Hitler and a cat-loving devotee of the Aryan myth, seem destined to fade into obscurity after her death 25 years ago. But thanks to the rise of the extreme right, her name and her image now crop up online more and more, writes Maria Margaronis.",http://www.bbc.com/news/magazine-41757047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
