author,published,title,text,site_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Next 'Six Week Film School' Focused On Scorsese's Style," ""I know the six I choose have the most style, what I like to call stylized moments,"" said McBride during GLT's Sound Ideas. ""Where he does things with camera, with lighting, with editing that communicates meaning. These six made the grade."" This is the third such film fest organized by McBride, but the first with a film director to attend film school and the only living film director. The first Six Week Film Festival a year ago focused on film noir and femme fatales. Earlier this year, McBride led a fest focused on Hitchcock. There's a vast Scorsese film library from which to choose. McBride said filmgoers may notice there are no mafia-related films, although the director is known for these films. ""Goodfellas"" is a fan favorite. ""The Departed"" won the Oscar for Best Picture.Â  ""It might be me going against the grain,"" said McBride, who also pointed out that the films that are included meet the style threshold.Â  There is a gangster film, however, ""Gangs of New York,"" but it's set in 1863. McBride says while the film festival is focused on style, he says it made the cut because of an actor performance.Â   ""That performance of Butcher Bill is just brilliant, Daniel Day-Lewis, the great Irish actor,"" said McBride. As for the first film in the series, ""Alice Doesn't Live Here Anymore,"" McBride said Scorsese was able to get excellent performances from Ellen Burstyn and Kris Kristofferson, who at the time was known more as a singer-songwriter than an actor.Â  ""This is the beginning of his acting career and Scorsese to have cast him first off is a brilliant gesture and what he gets from him is equally great,"" said McBride. Six Week Film School runs through Nov. 8. All shows are Wednesdays at 7 p.m. at the Normal Theater.Â  Six Week Film School ""Alice to Silence: The Scorsese Style"" schedule:   WGLT depends on financial support from users to bring you stories and interviews like this one. As someone who values experienced, knowledgeable, and award-winning journalists covering meaningful stories in central Illinois, please considerÂ making a contribution.  The end of summer marks the end of the worst summer box office for Hollywood in over a decade, thanks to an especially floppy parade of sequels.   Film director Alfred Hitchcock is thought of as ""the master of suspense."" Bill McBride argues Hitchcock's style is just as important.Â    Women are the pivotal characters in a film festival launching Wednesday at the Normal Theater, but that may not necessarily be a good thing. Femme fatales, or fatal females, usually set the plot into motion.Â    He had to teach and didn't have time for a summer vacation, so GLT's Culture Commentator spent some summer time catching up with rock heroes and icons. And he saw a thread in all of the concerts.Â    Tributes to David Bowie flooded social media when the world woke up Monday to news the ground breaking musician and film actor had died. He was 69 and had been battling cancer for a year and a half. One of the most retweeted tributes is this one from twitter user Dan Podesta, who wrote ""If you're ever sad, just remember the world is 4.543 billion years old and you somehow managed to exist at the same time as David Bowie."" Bill McBride, an Associate English Professor at Illinois State is not surprised by such reaction. ",/post/next-six-week-film-school-focused-scorseses-style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Police Investigating Attempted Abductions Of Students,,/post/police-investigating-attempted-abductions-students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Officials In Douglas County Seek Changes In Kansasâ€™ Review Of Saltwater Injection Wells," In its current format, she said, â€œthe process itself is really weighted against the ability of the citizens to be heard.â€ù The county and city say a longer public comment period would better suit the schedules of city and county commissioners, so that they can study any potential effects and discuss them during their public meetings. Local governments donâ€™t have authority to block applications by oil and gas companies to build and operate fluid injection wells within their boundaries â€” that power rests with the Kansas Corporation Commission. But, like members of the public, they can view application materials and file letters of protest. Douglas County Administrator Craig Weinaug said the county wants more time and information to determine whether a proposal by Florida-based Midstates Energy Operating LLC to operate two wells poses any risks for water contamination or earthquakes. â€œWe think that as government officials we have an obligation to make sure when something like this is done, itâ€™s done in a way that it protects the public,â€ù Weinaug said. â€œSo we are asking, â€˜What has the Corporation Commission done to make those determinations?â€™ And once we get an answer on what they have done, weâ€™d like a chance to question it, add additional information, so we can decide whether theyâ€™ve done a good job in protecting our interests.â€ù Public concern In the latest example of growing public interest in saltwater injection, Lawrence and Douglas County officials sent a joint letter last week to the KCC. Read the letter to the Kansas Corporation Commission from Lawrence and Douglas County officials. Saltwater injection consists of pouring â€” with or without pressurization â€” brine down a well either to dispose of it or to assist in extracting oil and gas. The saltwater is wastewater that is itself churned up in the course of oil or gas production and can contain chemicals. A spike in earthquakes in Oklahoma and south-central Kansas in recent years has fueled public concerns about saltwater injection because geophysicists have pinned a rise in seismic activity on saltwater disposal wells. In some parts of that region, operators can inject upwards of 15,000 barrels of brine into each well per day. Since 2009, thousands of temblors with a magnitude of 2.7 or higher â€” meaning quakes strong enough to be felt by people â€” have struck the region.  Wells are marked active or inactive based on whether they reported saltwater injection in 2016, the most current data available.Â EORÂ (enhanced oil recovery) wells inject saltwater to help extract oil.Â SWDÂ (saltwater disposal) wells inject saltwater to get rid of it. Data source: Kansas Corporation Commission. Map: CeliaÂ Llopis-Jepsen/Kansas News Service. The permits sought byÂ MidstatesÂ Energy in Douglas County are for extraction rather than disposal wells, according to documents filed with theÂ KCC. The company is seeking to inject 100 barrels of brine per day into the two wells to assist in oil or gas production. BruceÂ Presgrave, aÂ USGSÂ supervisory geophysicist at the National Earthquake Information Center in Golden, Colorado, said itâ€™s impossible to know whether a proposed saltwater injection site will cause earthquakes. In some places, higher-volume wells donâ€™t cause quakes, while lower-volume wells in other locations do. â€œThereâ€™s no magic formula that works everywhere,â€ùÂ PresgraveÂ said. â€œThatâ€™s part of the problem.â€ù However, higher volumes correlate with higher risk of seismicity. TheÂ USGSÂ also says saltwater wells used for disposal purposes areÂ more likely to cause earthquakesÂ than their extraction-related counterparts. Local geological characteristics, such as proximity to fault lines, also play a role. Overall, most saltwater injection wells are not linked to earthquakes. Presgrave said there is â€œa growing body of evidenceâ€ù that state regulators and oil companies can reduce impact by monitoring wells and adjusting or cutting off injection as needed â€” though the extent to which states and companies do this can vary. â€œWith some care, this can be worked with, and the hazard can be mitigated,â€ù he said, â€œand still achieve the economic issue of being able to get the oil out and do something with the fluid.â€ù Flint Hills well approved In recent months, residents of the Flint Hills fought plans for a saltwater disposal well near the Tallgrass Prairie National Preserve. They failed to block a bid from Quail Oil &amp; Gas for a permit, but their effort grew into a broader campaign to engage the public in monitoring and protesting any new applications that companies file for saltwater injection in their region.   The protestors also are lobbying legislators for changes to state law, arguing that the stateâ€™s current regulatory framework doesnâ€™t require the KCC to factor in seismicity risks when reviewing well applications. In its September decision allowing the Flint Hills well to proceed, the KCC concluded protestors hadnâ€™t proven any â€œimmediate dangerâ€ù to public health, safety or welfare. But the protestors argue Kansas should take a more proactive stance. They fear faulty wells or unscrupulous dumping could contaminate local freshwater and argue that Kansas failed to rein in saltwater disposal in south-central parts of the state until earthquakes had become a frequent occurrence. In recent years, the KCC has capped daily injection volumes in parts of that region. Midstates Energy notice On Oct. 9, Midstates Energy published notices in the Lawrence Journal-World to meet legal requirements for informing the public of its plans. Its applications are still pending with the KCC. The notices said residents had 15 days to file any protests against the companyâ€™s two wells, setting an Oct. 24 deadline. On Friday a KCC spokeswoman said the companyâ€™s notice was incorrect, because the legal public comment period should be 30 days. The agency is contacting Midstates to let the company know it will need to redo the public notification process. State regulations require companies planning injection activities to publish a notice in the countyâ€™s designated newspaper, in addition to notifying the local landowner and any well operators or owners of mineral rights within half a mile. Midstates didnâ€™t return a call seeking comment. The Florida company registered in Kansas in September, according to filings with the Kansas Secretary of Stateâ€™s Office. In addition to Midstatesâ€™ pending applications for Douglas County wells, records on the Kansas Geological Survey website indicate the company received permits this month to drill three injection wells in Franklin County, south of Douglas County. Thellman said Douglas Countyâ€™s decision to contact the KCC about the two wells there came amid calls and emails from constituents worried about the environmental risks. â€œCertainly the word has spread â€” word of mouth, social media, environmental organizations,â€ù she said. â€œI continue to get lots of emails and phone calls. Itâ€™s gotten quite a bit of attention.â€ù Celia Llopis-Jepsen is a reporter for the Kansas News Service, a collaboration of KCUR, Kansas Public Radio, KMUW and High Plains Public Radio covering health, education and politics. You can reach her on TwitterÂ @Celia_LJ. Kansas News Service stories and photos may be republished at no cost with proper attribution and a link back to kcur.org.  The fight over an oil-related waste disposal well in Kansasâ€™ Flint Hills has broadened into a campaign to protest similar wells across several counties and lobby lawmakers for regulatory changes.   Kansas energy regulators have given the green light for an oil company to dispose of production-related wastewater in the Flint Hills â€” a plan that had met with resistance from residents.  Residents of the Flint Hills on Wednesday took a fight against an oil company to Kansas energy regulators as part of their broader battle to stem wastewater disposal in the area. They fear that a request from Quail Oil and Gas to jettison up to 5,000 barrels a day of brine near Strong City and the Tallgrass Prairie National Preserve brings a risk for earthquakes or contamination of local groundwater â€” claims that the company disputes.Â  ",/post/officials-douglas-county-seek-changes-kansas-review-saltwater-injection-wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,"Lake Effect Weekend: Streetcars, 'Artifacts,' Radio Chipstone, Ex Fabula"," Guests:  There are many things brewing in downtown Milwaukee. Perhaps the most notable project this summer has been the laying of the tracks for the new Milwaukee Streetcar, which has torn up roads throughout downtown and the Third Ward. Residents have many lingering questions about the new streetcar, but the most persistent one seems to be: Why? Like many cities, Milwaukee once had a streetcar system that was removed in the 1950s.Â   For three adventurous decades, Milwaukee's Wild Space Dance Company has taken audiences on journeys that confound the accepted ideas of what dance can be. From performances in expected venues like a theater, to those in decidedly unexpected venues like the Menomonee Valleyâ€™s Three Bridges Park, Wild Space continually redefines modern dance for both performers and audiences.   Milwaukee Public Media is a service of UW-Milwaukee's College of Letters &amp; Science",/post/lake-effect-weekend-streetcars-artifacts-radio-chipstone-ex-fabula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,In The Moment ... Weekly Checkup With Dr. Richard Holm," View the discussion thread.   Made possible by your generous gifts. And by the Friends of South Dakota Public Broadcasting.",/post/moment-weekly-checkup-dr-richard-holm-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Harris County Judge Ed Emmett: Hurricane Harvey â€˜By Far The Worstâ€™," But â€œimprovements do work,â€ù Emmett said, citing the example of the Texas Medical Center, which he said hasnâ€™t flooded since Hurricane Allison in 2001. â€œWeâ€™ve just got to have the political will and financial resources to do it.â€ù  Timely relief will be key to Hurricane Harvey recovery, Harris County Judge Ed Emmett told Maggie Martin of Houston Matters during a Houston Public Media Facebook Live conversation on Tuesday. The storm, he said, was â€œby far the worst, no question,â€ù that heâ€™s experienced in 10 years as Harris County judge, and preparing for it presented complex challenges. â€œI like to say lightheartedly thereâ€™s a lot of warm, fuzzy feelings because we got through the storm,â€ù he said. â€œThose warm, fuzzy feelings will go away very quickly if people still have debris in their front yard and if they havenâ€™t gotten relief from FEMA in terms of individual assistance or housing assistance. Those two have to be job one.â€ù Improvements to mitigate future flood risk are also important, he said. Because of changes such as installation of flood doors at the Texas Medical Center, which suffered an estimated $2 billion in damage after Hurricane Allison in 2001, â€œThe medical center hasnâ€™t flooded again,â€ù he noted. â€œSo improvements do work. Weâ€™ve just got to have the political will and financial resources to do it.â€ù Is a third reservoir a possibility for the area? For years, Emmett said, the idea for a reservoir â€œhas been on the plansâ€ù for Cypress Creek, which experienced severe flooding due to Harvey. â€œBut years ago, it was decided not to build it, because nobody was ever going to live that far out. Well, obviously weâ€™ve grown. And now it makes it more difficult to construct it because the landâ€™s become more valuable.â€ù Meanwhile, Emmett emphasized the need for a comprehensive hydrology study. â€œWe need to think about where are the natural watersheds, where does the water flow naturally in our area,â€ù he said. â€œAnd then we need to complete the jobs that are already planned on the various watersheds. The Brays [Bayou] project is the one that everybody talks about the most.â€ù Tags ed emmett harris county harvey reservoirs Houston Public Media is supported with your gifts to the Houston Public Media Foundation and is licensed to the University of Houston Copyright Â© 2017 | Privacy Policy",http://www.houstonpublicmedia.org/articles/news/2017/09/12/236705/harris-county-judge-ed-emmett-hurricane-harvey-by-far-the-worst/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Montanaro,25-Oct-17,All-Time High: Majority Of Republicans Support Pot Legalization For First Time," For the first time, a majority of Republicans are in favor of legalizing marijuana, according to a Gallup poll out Wednesday. Fifty-one percent of Republicans tell Gallup that, yes, marijuana should be legal, up from 42 percent last year. That support has led to a whopping two-thirds of Americans (64 percent) supporting pot legalization, the highest ever recorded by Gallup. Gallup has data on the question since 1969. How quickly has support for marijuana changed among Americans? In 2004, just over a third supported it. Roughly that many Democrats were in favor, and only 20 percent of Republicans were. Majority of REPUBLICANS for first time in favor of legalization pic.twitter.com/ajqyM6E3Ni What has changed? Half the country has moved toward marijuana legalization in some form â€” with more than a half-dozen states having legalized pot for recreational use and more than dozen others having legalized medical marijuana. (Governing has a good map of that.) As Gallup's Justin McCarthy notes, ""As efforts to legalize marijuana at the state level continue to yield successes, public opinion, too, has shifted toward greater support."" Yet, the Trump administration has taken a tack in the opposite direction. ""When you see something like the opioid addiction crisis blossoming in so many states around this country, the last thing we need to be doing is encouraging people,"" said then-White House press secretary Sean Spicer several months ago. ""There is still a federal law we need to abide by."" President Trump's attorney general, Jeff Sessions, has a long record of being no fan of marijuana. In the 1980s, his nomination for a federal judgeship was derailed, in part, because of the revelation that he had joked that he thought the KKK was ""OK until I found out they smoked pot."" As a senator, Sessions was very much set against marijuana, remarking during a hearing just last year: ""Good people don't smoke marijuana."" Of course, there is no guarantee that support stays at these levels, as NPR's Danielle Kurtzleben noted last year, especially if there are unintended consequences in the states where it's legal â€” and if as millennials get older and have children, they change their minds. But the trend in public opinion at this point is undeniable. NPR thanks our sponsors Become an NPR sponsor ",http://www.npr.org/2017/10/25/559989879/all-time-high-majority-of-republicans-support-pot-legalization-for-first-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,West Lafayette Hopes To Expand 'Riverfront' Alcohol-serving Establishments," West Lafayette already has five such restaurants, but wants to extend the use of the riverfront provision into other areas of the city. Mayor John Dennis says itâ€™d have an impact on safety. â€œIf thereâ€™s more establishments, thereâ€™s less crowding, thereâ€™s less potential for fights; less potential for harm and danger. And thereâ€™s more opportunities for control,â€ù Dennis says. But city Development Director Erik Carlson says he hopes the city council will approve restrictions on when the businesses may operate, in case they want to operate primarily as bars and not as restaurants. â€œWhat weâ€™re looking at is maybe an 11 a.m. to midnight, where if you donâ€™t want to meet that food restriction, you can be open,"" Carlson says. ""But you canâ€™t be open for Breakfast Club and you canâ€™t be open till last call.â€ù Carlson says in West Lafayette, the riverfront district extends west as far as 3,000 feet from the first usable lots along the Wabash River â€“ including up Chauncey Hill, where it might apply to retail space inside several high-rise apartment buildings slated for completion in the next few years. View the discussion thread. ",/post/west-lafayette-hopes-expand-riverfront-alcohol-serving-establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Courtyard by Marriott Niagara Falls,"  ",/term/courtyard-marriott-niagara-falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npr,N/A,Diabetics Protest Rising Insulin Prices At Drug Company Headquarters," The frustration bubbled over at a rally in front of Eli Lilly headquarters in downtown Indianapolis Saturday. Protestors held signs reading â€œInsulin for Allâ€ù and â€œInsulin = Life.â€ù The protest of a few dozen people comprised what organizers believe is the first demonstration of its kind. Insulinâ€™s rapidly-rising cost â€” and lack of an affordable, generic option â€” is putting peopleâ€™s health at risk, protestors say, and making them a slave to the price of the vital hormone. Mike Hoskins, a Type 1 diabetic, said he has good health insurance, but still goes without insulin sometimes to save money. â€œI donâ€™t use it as much,â€ù he said, â€œSometimes, I adjust what Iâ€™m eating or my routine so I donâ€™t have to spend as much on insulin.â€ù Horror stories abound of diabetics skimping on injections â€” or even intentionally slipping into a coma to receive doses of insulin inside the ER. Some diabetics canâ€™t function without insulin, and in some cases, not taking enough can be life-threateningly dangerous. The Indianapolis-based Lilly was the first company to mass-produce insulin in the 1980s. The company is now one of three manufacturers, along with the European companies Sanofi and Novo Nordisk, that dominate the market for the hormone. The trio is now facing a class-action lawsuit accusing them of price-fixing. According to the lawsuit, the list price of Lillyâ€™s drug, called Humalog, has doubled in the past five years. In the mid-â€˜90s, when the drug was first launched, it cost $21 a vial. Now, list price for that same amount is $274. The other two companies have similarly raised their prices (and in such lockstep that critics say it is more than coincidence). Usually, when a drug has been on the market for decades, a cheap generic will become available, making it more accessible. No such generic exists for diabetics, thanks to insulinâ€™s complicated biology. Itâ€™s not technically a drug, itâ€™s a substance called a biologic, made from living cells, and re-creating it is more difficult. Insulin isnâ€™t a static medicine, either. Companies continue to tweak their formulas, extending their patentsâ€™ lifespans.  In response to the increasing outrage over insulin pricing, Lilly, along with pharmacy middleman Express Scripts, has introduced a program to make the hormone more accessible, offering discounts to patients who buy the drug through a third party website called Blink Health. But the 40 percent discount only applies to people paying full price for three of Lillyâ€™s insulin products, including Humalog. Thatâ€™s people without insurance or in high-deductible health plans. Protestor Angela Lautner found out she wasnâ€™t eligible for several patient-assistance plans when she lost her job. â€œI was denied every single one of them, including Eli Lillyâ€™s patient-assistance program,â€ù said Lautner. Last year, Lilly defended its prices, saying that thanks to rebate systems, the â€œrealâ€ù price patients pay hasnâ€™t gone up since 2009 â€” middlemen called pharmacy benefit managers absorb the â€œlistâ€ù price increases. Hoskins said he thinks there are problems at every level, from the pharmacy benefit managers, to the wholesalers, to government policies. â€œAt the end of the day itâ€™s too complicated for people to understand, and it really doesnâ€™t go anywhere, and itâ€™s a huge problem,â€ù he said. Lautner understands the health care system is complicated but thinks ultimately the price tag is just too much. â€œI honestly donâ€™t think my insurance company should have to pay the $1,400 that Walgreens put on my receipt last week for a month of insulin,â€ù said Lautner. In an email, a Lilly spokesman said the company has been an active participant in the insulin access dialogue for a long time, and we will continue to listen to patients. This story was produced by a partnership between Indiana Public Broadcasting and Side Effects Public Media, a reporting collaborative focused on public health.  View the discussion thread.  Dr. Jeremy Greene sees a lot of patients with diabetes that's out of control.  In fact, he says, sometimes their blood sugar is ""so high that you can't even record the number on their glucometer.""  Greene, a professor of medicine and history of medicine at Johns Hopkins University, started asking patients at his clinic in Baltimore why they had so much trouble keeping their blood sugar stable. He was shocked by their answer: the high cost of insulin.   Â  It's not popular with doctors, but you can buy insulin without a prescription.Â  When Carmen Smith was uninsured, she knew she needed insulin to control her Type 2 diabetes. But she couldn't afford to go to a doctor for a prescription. So she just went to a pharmacy near where she lives in Cleveland, Ohio, purchased insulin over the counter, and took the amount a doctor had told her to take years before. It was a way to survive, she says, but no way to live.  When Tim Rushing turned 50 last year, his doctor called him in for a check-up. They did a physical, ran some tests, and found out that Rushing had Type 2 diabetes. â€œNo surprises there,â€™ Rushing says. â€œBoth my parents are Type 2 diabetics.â€ù   He knew from watching his parents that monitoring his blood sugar would be essential to managing the disease. What Rushing didnâ€™t realize was how much that monitoring would cost. Turns out, itâ€™s a lot.    Content on this site provides general information relating to health and is not intended to be a substitute for consultation",/post/diabetics-protest-rising-insulin-prices-drug-company-headquarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
